year_ceremony,Category,name,film
1935,SHORT SUBJECT (Comedy),"Kenneth Macgowan, Producer",La Cucaracha
1935,SHORT SUBJECT (Novelty),"Stacy Woodard and Horace Woodard, Producers",City of Wax
1935,SOUND RECORDING,"Columbia Studio Sound Department, John Livadary, Sound Director",One Night of Love
1935,WRITING (Adapted Screenplay),Robert Riskin,It Happened One Night
1935,WRITING (Original Story),Arthur Caesar,Manhattan Melodrama
1935,SPECIAL AWARD, Shirley Temple,
1936,PRODUCTION DESIGN,Richard Day,The Dark Angel
1936,ASSISTANT DIRECTOR,"Clem Beauchamp, Paul Wing",The Lives of a Bengal Lancer
1936,CINEMATOGRAPHY,Hal Mohr,A Midsummer Night's Dream
1936,DANCE DIRECTION,Dave Gould,Broadway Melody of 1936;
1936,DIRECTING,John Ford,The Informer
1936,FILM EDITING,Ralph Dawson,A Midsummer Night's Dream
1936,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",The Informer
1936,MUSIC (Song),Music by Harry Warren; Lyrics by Al Dubin,Gold Diggers of 1935
1936,BEST PICTURE,Metro-Goldwyn-Mayer,Mutiny on the Bounty
1936,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Three Orphan Kittens
1936,SHORT SUBJECT (Comedy),"Jack Chertok, Producer",How to Sleep
1936,SHORT SUBJECT (Novelty),Gaumont British and Skibo Productions,Wings over Mt. Everest
1936,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",Naughty Marietta
1936,WRITING (Original Story),"Ben Hecht, Charles MacArthur",The Scoundrel
